fatal: bad revision 'HEAD'
开始获取 BTC/USDT 数据，从 2023-01-01 到 2024-11-08
已获取 353000 条数据... 当前时间: 2023-09-03 03:19:00.001000
已获取 354000 条数据... 当前时间: 2023-09-03 19:59:00.001000
已获取 355000 条数据... 当前时间: 2023-09-04 12:39:00.001000
已获取 356000 条数据... 当前时间: 2023-09-05 05:19:00.001000
已获取 357000 条数据... 当前时间: 2023-09-05 21:59:00.001000
已获取 358000 条数据... 当前时间: 2023-09-06 14:39:00.001000
已获取 359000 条数据... 当前时间: 2023-09-07 07:19:00.001000
已获取 360000 条数据... 当前时间: 2023-09-07 23:59:00.001000
已获取 361000 条数据... 当前时间: 2023-09-08 16:39:00.001000
已获取 362000 条数据... 当前时间: 2023-09-09 09:19:00.001000
已获取 363000 条数据... 当前时间: 2023-09-10 01:59:00.001000
已获取 364000 条数据... 当前时间: 2023-09-10 18:39:00.001000
已获取 365000 条数据... 当前时间: 2023-09-11 11:19:00.001000
已获取 366000 条数据... 当前时间: 2023-09-12 03:59:00.001000
已获取 367000 条数据... 当前时间: 2023-09-12 20:39:00.001000
已获取 368000 条数据... 当前时间: 2023-09-13 13:19:00.001000
已获取 369000 条数据... 当前时间: 2023-09-14 05:59:00.001000
已获取 370000 条数据... 当前时间: 2023-09-14 22:39:00.001000
已获取 371000 条数据... 当前时间: 2023-09-15 15:19:00.001000
已获取 372000 条数据... 当前时间: 2023-09-16 07:59:00.001000
已获取 373000 条数据... 当前时间: 2023-09-17 00:39:00.001000
已获取 374000 条数据... 当前时间: 2023-09-17 17:19:00.001000
已获取 375000 条数据... 当前时间: 2023-09-18 09:59:00.001000
已获取 376000 条数据... 当前时间: 2023-09-19 02:39:00.001000
已获取 377000 条数据... 当前时间: 2023-09-19 19:19:00.001000
已获取 378000 条数据... 当前时间: 2023-09-20 11:59:00.001000
已获取 379000 条数据... 当前时间: 2023-09-21 04:39:00.001000
已获取 380000 条数据... 当前时间: 2023-09-21 21:19:00.001000
已获取 381000 条数据... 当前时间: 2023-09-22 13:59:00.001000
已获取 382000 条数据... 当前时间: 2023-09-23 06:39:00.001000
已获取 383000 条数据... 当前时间: 2023-09-23 23:19:00.001000
已获取 384000 条数据... 当前时间: 2023-09-24 15:59:00.001000
已获取 385000 条数据... 当前时间: 2023-09-25 08:39:00.001000
已获取 386000 条数据... 当前时间: 2023-09-26 01:19:00.001000
已获取 387000 条数据... 当前时间: 2023-09-26 17:59:00.001000
已获取 388000 条数据... 当前时间: 2023-09-27 10:39:00.001000
已获取 389000 条数据... 当前时间: 2023-09-28 03:19:00.001000
已获取 390000 条数据... 当前时间: 2023-09-28 19:59:00.001000
已获取 391000 条数据... 当前时间: 2023-09-29 12:39:00.001000
已获取 392000 条数据... 当前时间: 2023-09-30 05:19:00.001000
已获取 393000 条数据... 当前时间: 2023-09-30 21:59:00.001000
已获取 394000 条数据... 当前时间: 2023-10-01 14:39:00.001000
已获取 395000 条数据... 当前时间: 2023-10-02 07:19:00.001000
已获取 396000 条数据... 当前时间: 2023-10-02 23:59:00.001000
已获取 397000 条数据... 当前时间: 2023-10-03 16:39:00.001000
已获取 398000 条数据... 当前时间: 2023-10-04 09:19:00.001000
已获取 399000 条数据... 当前时间: 2023-10-05 01:59:00.001000
已获取 400000 条数据... 当前时间: 2023-10-05 18:39:00.001000
已获取 401000 条数据... 当前时间: 2023-10-06 11:19:00.001000
已获取 402000 条数据... 当前时间: 2023-10-07 03:59:00.001000
已获取 403000 条数据... 当前时间: 2023-10-07 20:39:00.001000
已获取 404000 条数据... 当前时间: 2023-10-08 13:19:00.001000
